#Aliyah Localization
####Religion Localization
#Jewish Religions
rabbinic_judaism;Rabbinic Judaism;;;;;;;;;;;;;x
rabbinic_judaism_DESC;Rabbinic Judaism is the major religion of the Ashkenazi and Sephardic Jews in Europe.;;;;;;;;;;;;;x
grand_sanhedrin;Grand Sanhedrin;;;;;;;;;;;;;x
grand_sanhedrin_DESC;The Grand Sanhedrin is the reformation of Rabbinic Judaism where the courts are more important than the kohens from the Tribe of Levi. This has caused a schism between them and Temple Judaism.;;;;;;;;;;;;;x
haymanot_judaism;Haymanot Judaism;;;;;;;;;;;;;x
haymanot_judaism_DESC;This is a branch of Judaism that Beta-Israel follows.;;;;;;;;;;;;;x
temple_judaism;Temple Judaism;;;;;;;;;;;;;x
temple_judaism_DESC;Temple Judaism rejects the Sanhedrin and follows the Torah only. This has created a schism between Temple Judaism and the Rabbis of Rabbinic Judaism and the Grand Sanhedrin.;;;;;;;;;;;;;x
grand_sanhedrin;Grand Sanhedrin;;;;;;;;;;;;;x
grand_sanhedrin_DESC;The Grand Sanhedrin is the reformation of Rabbinic Judaism where the courts are more important than the kohens from the Tribe of Levi. This has caused a schism between them and Temple Judaism.;;;;;;;;;;;;;x
torah_shomronit;Samaritan Pentatauch;;;;;;;;;;;;;x
torah_shomronit_desc;The Samaritan Pentatauch is the Samaritan version of the Pentatauch. It contains 6,000 differences between it and the Hebrew Torah.;;;;;;;;;;;;;x
milchemet_kodesh;Milchemet Kodesh;;;;;;;;;;;;;x
milchemet_kodesh_desc;Milchemet Kodesh is Hebrew for Holy War.;;;;;;;;;;;;;x
MILCHEMET_KODESH;Milchemet Kodesh;;;;;;;;;;;;;x
MILCHEMET_KODESH_desc;Milchemet Kodesh is Hebrew for Holy War.;;;;;;;;;;;;;x
chasid;Chasid;;;;;;;;;;;;;x
chasid_desc;Chasid is the Hebrew word for Piety.;;;;;;;;;;;;;x
stat_piety_chasid;Chasid;;;;;;;;;;;;;x
stat_piety_chasid_desc;Chasid is the Hebrew word for Piety.;;;;;;;;;;;;;x
monthly_piety_chasid;Monthly Chasid;;;;;;;;;;;;;x
mashafa_kedus;Mashafa Kedus;;;;;;;;;;;;;x
mashafa_kedus_desc;Mashafa Kedus is the Haymanot Judaism name for their holy scriptures.;;;;;;;;;;;;;x

#Jewish Reformation Events
reform_rabbinic_judaism;Reform Rabbinic Judaism;;;;;;;;;;;;;x
reform_rabbinic_judaism_desc;Reforming of Rabbinic Judaism into the Grand Sanhedrin.;;;;;;;;;;;;;x
reform_karaite;Reform Karaite;;;;;;;;;;;;;x
reform_karaite_desc;Reforming of Karaite into Temple Judaism.;;;;;;;;;;;;;x
 
#Title and Honorifics
nazarene;Nazarene;;;;;;;;;;;;;x
nazarene_DESC;Nazarenes are the original Christians, but were never referred as such. They were the first followers of Yeshua Im'manua'el during his earthly ministry to the Jews. It wasn't until after the Bar Kokhba Revolt that Gentile followers of Yeshua distanced themselves from their Jewish counterparts with the use of Christian.;;;;;;;;;;;;;x
ebionite;Ebionite;;;;;;;;;;;;;x
ebionite_DESC;Ebionites were the first schism in the Nazarene church. Ebionites rejected the divinity of Yeshua and incorporated gnosticism.;;;;;;;;;;;;;x
shammashim;Shammashim(Priest);;;;;;;;;;;;;x
shammashim_desc;Hebrew name for Nazarene Shammashim(Priest).;;;;;;;;;;;;;x
GOD_HASHEM;Hashem;;;;;;;;;;;;;x
GOD_ADONAI;Adonai;;;;;;;;;;;;;x
temple_barony_of_nazarene;Shammashim;;;;;;;;;;;;;x
temple_barony_of_ebionite;Shammashim;;;;;;;;;;;;;x
NAGID_OF;Nagid of Jerusalem;;;;;;;;;;;;;x
NAGID;Nagid;;;;;;;;;;;;;x
NAGID_FOA;Your holiness;;;;;;;;;;;;;x
kohen;Kohen;;;;;;;;;;;;;x
kohen_desc;Kohens are the priests from the Tribe of Levi that administer the Jewish rites.;;;;;;;;;;;;;x
TOOLTIPKOHEN;Kohens are the priests from the Tribe of Levi that administer the Jewish rites.;;;;;;;;;;;;;x
HEAD_CHIEF_RABBI;Chief Rabbi;;;;;;;;;;;;;x
d_rabbinic_judaism;Rabbinic Judaism;;;;;;;;;;;;;x
d_rabbinic_judaism_adj;Rabbinic Judaism;;;;;;;;;;;;;x
d_grand_sanhedrin;The Grand Sanhedrin;;;;;;;;;;;;;x
